GL	CHS	UTS
25	2.5	19.91
25	2.5	19.33
25	2.5	24.83
25	2.5	22.43
25	2.5	23.12
25	2.5	23.74
25	2.5	19.14
25	2.5	21.19
25	2.5	22.87
25	2.5	21.75
50	2.5	17.48
50	2.5	18.6
50	2.5	18.3
50	2.5	16.23
50	2.5	16.85
50	2.5	15.74
50	2.5	17.94
50	2.5	16.81
50	2.5	18.17
50	2.5	17.83
75	2.5	14.96
75	2.5	14.52
75	2.5	16.16
75	2.5	15.37
75	2.5	13.17
75	2.5	15.48
75	2.5	17.84
75	2.5	18.63
75	2.5	14.96
75	2.5	15.21
25	5	25.06
25	5	24.11
25	5	29.55
25	5	26.85
25	5	27.31
25	5	31.26
25	5	26.7
25	5	24.19
25	5	24.29
25	5	28.76
50	5	20.2
50	5	20.83
50	5	23.94
50	5	26.02
50	5	22.18
50	5	21.7
50	5	24.63
50	5	21.87
50	5	23.41
50	5	24.76
75	5	16.99
75	5	17.88
75	5	15.97
75	5	15.56
75	5	17.3
75	5	16.34
75	5	16.05
75	5	16.63
75	5	17.6
75	5	15.87
25	10	29.29
25	10	33.19
25	10	30.44
25	10	33.98
25	10	33.98
25	10	32.45
25	10	28.98
25	10	32.48
25	10	27.58
25	10	31.09
50	10	24.16
50	10	24.76
50	10	25.85
50	10	25.42
50	10	27.87
50	10	17.89
50	10	21.73
50	10	24.63
50	10	26.34
50	10	24.91
75	10	19.96
75	10	17.11
75	10	20.85
75	10	18.31
75	10	17.41
75	10	22.17
75	10	21.1
75	10	19.6
75	10	16.71
75	10	17.09
